time_group,temperature,relative_humidity,dew_point,rain,surface_pressure,cloud_cover
2015-04-20 00:00:00,25.4125,90.5,23.75,0.7,1007.5875,91.875
2015-04-20 08:00:00,28.55,76.25,23.9125,0.5,1007.1625,43.0
2015-04-20 16:00:00,28.2375,79.625,24.375,3.9,1006.2375,38.5
2015-04-21 00:00:00,24.425,91.625,23.0,12.0,1008.0,98.625
2015-04-21 08:00:00,26.075,86.25,23.599999999999998,3.6,1008.2375,100.0
2015-04-21 16:00:00,25.9125,90.75,24.3125,2.5,1006.325,96.125
2015-04-22 00:00:00,24.8875,97.0,24.3875,0.6000000000000001,1006.7875,94.0
2015-04-22 08:00:00,27.7,83.75,24.675,12.9,1006.9125,80.375
2015-04-22 16:00:00,26.4375,88.0,24.2375,0.7,1006.65,96.875
2015-04-23 00:00:00,25.125,92.0,23.724999999999998,1.4,1007.5375,96.125
2015-04-23 08:00:00,27.5375,81.875,24.1125,0.0,1007.4125,74.0
2015-04-23 16:00:00,26.8625,84.5,24.0125,1.7000000000000002,1006.5,61.5
2015-04-24 00:00:00,24.0875,95.0,23.2625,1.9,1007.6125,92.625
2015-04-24 08:00:00,28.3375,77.625,23.875,6.7,1007.4125,92.125
2015-04-24 16:00:00,26.475,86.5,23.9875,5.3999999999999995,1006.7,94.125
2015-04-25 00:00:00,24.725,94.875,23.825,6.1,1007.1625,98.375
2015-04-25 08:00:00,26.9375,83.375,23.8375,3.3,1007.2875,77.75
2015-04-25 16:00:00,25.25,92.625,23.925,14.1,1007.5375,97.375
2015-04-26 00:00:00,24.75,89.375,22.8,6.1,1008.2625,99.875
2015-04-26 08:00:00,26.2125,76.5,21.7875,2.0,1008.525,99.875
2015-04-26 16:00:00,26.8,75.25,22.0125,0.0,1007.6875,99.5
2015-04-27 00:00:00,25.6875,83.625,22.7,0.2,1007.4375,85.375
2015-04-27 08:00:00,28.725,71.5,23.05,0.0,1007.35,43.125
2015-04-27 16:00:00,27.8,76.875,23.35,0.0,1007.4625,82.375
2015-04-28 00:00:00,25.9625,88.25,23.85,6.3,1007.7375,76.5
2015-04-28 08:00:00,27.625,83.0,24.4125,2.5,1008.0375,58.25
2015-04-28 16:00:00,26.9625,84.75,24.2,3.1,1007.7875,90.375
2015-04-29 00:00:00,25.3125,93.0,24.0875,6.4,1008.5875,100.0
2015-04-29 08:00:00,27.0125,87.625,24.7375,4.5,1008.75,98.5
2015-04-29 16:00:00,26.775,85.0,23.9875,0.0,1006.975,99.625
2015-04-30 00:00:00,25.425,91.625,23.9625,1.5,1007.25,97.75
2015-04-30 08:00:00,27.8125,81.25,24.3,1.9,1007.4250000000001,91.5
2015-04-30 16:00:00,26.75,86.875,24.35,3.2,1007.05,98.25
2015-05-01 00:00:00,25.6,90.25,23.8625,1.7,1007.7125,99.75
2015-05-01 08:00:00,27.3375,84.875,24.5375,5.699999999999999,1007.225,90.75
2015-05-01 16:00:00,26.8375,85.625,24.25,0.9,1006.825,95.75
2015-05-02 00:00:00,25.4125,91.125,23.85,1.3,1007.9125,96.75
2015-05-02 08:00:00,27.7375,81.875,24.3125,2.0,1007.7625,86.125
2015-05-02 16:00:00,26.4875,86.25,23.975,4.4,1007.1875,95.5
2015-05-03 00:00:00,25.675,89.125,23.7375,1.8,1008.1875,100.0
2015-05-03 08:00:00,27.9125,78.875,23.85,1.0,1008.4625,95.75
2015-05-03 16:00:00,27.0375,80.125,23.3,2.5,1007.375,90.125
2015-05-04 00:00:00,25.575,88.625,23.5625,0.2,1007.975,96.5
2015-05-04 08:00:00,27.55,79.75,23.725,3.9,1007.925,66.875
2015-05-04 16:00:00,26.3625,85.5,23.725,2.5,1007.275,85.375
2015-05-05 00:00:00,24.65,96.25,24.025,5.5,1007.85,100.0
2015-05-05 08:00:00,26.725,86.625,24.25,2.7,1008.15,99.875
2015-05-05 16:00:00,26.175,85.75,23.5875,0.0,1006.4,99.875
2015-05-06 00:00:00,24.875,95.625,24.1125,0.0,1006.8,97.0
2015-05-06 08:00:00,27.775,79.5,23.9,1.5,1006.5625,68.125
2015-05-06 16:00:00,27.1625,81.0,23.625,0.0,1006.025,92.75
2015-05-07 00:00:00,25.9375,87.875,23.775,3.0,1007.1625,96.875
